,runtime_sec,gradient_evals,final_loss
SGD,0.0006504058837890625,100.0,-1.1010830775595246
Momentum,0.0006506443023681641,100.0,-1.100474452810623
AdaGrad,0.000782012939453125,100.0,7.676786579651328
Adam,0.0010693073272705078,100.0,-1.098099437732315
IDAM,0.0007395744323730469,100.0,-1.1010830775595246
